tic_id,ra,dec,tessmag,teff,logg,radius,sector,camera,ccd,num_observations,time_baseline
25245855,327.334154769052,-22.6275884052308,9.05084991,5446.06982422,4.18623018,1.30318999,1,1,3,18234,27.818296404839657
29779873,64.806456,-71.353104,12.49499989,,,,1,4,1,18269,27.880581563231544
32175924,331.806090116887,-28.9745289941868,10.71759987,3656.0,4.65795994,0.59202999,1,1,3,16690,27.765582801875553
33718385,61.3109171803941,-74.160826512405,10.28719997,5567.60009766,4.13125992,1.40935004,1,3,3,18278,27.880471211227132
33767826,62.4419940012591,-76.708259550412,10.63029957,5200.0,4.55404997,0.82082498,1,3,3,18278,27.880352723712576
38600576,64.4305926476966,-65.7100062620741,8.41020012,6400.0,3.76134992,2.46583009,1,4,1,18278,27.88083347003908
38844604,68.639849553328,-60.8027895171929,8.97469997,5813.0,3.95764995,1.78157997,1,4,1,18277,27.88101316963207
38908257,69.6183925630181,-65.7082680016376,9.93929958,6306.39990234,4.11862993,1.60853004,1,4,1,18010,27.880795904502747
38909361,69.7743891730398,-63.179475698318,10.58440018,5758.50976563,4.33277988,1.14567995,1,4,1,15279,25.78642561851825
44564975,340.639826588355,-42.889722728054,9.89000034,5716.0,4.28592014,1.2033,1,2,3,18277,27.880865154739013
53724460,326.389605971651,-28.7247565529409,7.23829985,6698.70996094,4.27255011,1.44178998,1,1,3,18228,27.818158405651502
53782227,326.869307140141,-26.7406251931753,11.35140038,3473.0,4.80732012,0.42122799,1,1,3,18212,27.786265797902843
53841444,327.5979,-27.5212,13.26200008,,5.00139999,0.25299999,1,1,3,18208,27.779336919103116
55479529,71.29144080749,-65.4103660625069,14.44239998,3084.0,5.01515007,0.229669,1,4,1,17278,26.487723271028926
55606568,73.4520057783179,-65.0693680320534,10.02060032,5433.60009766,4.31263018,1.12609994,1,4,1,17830,27.880789454453634
55745413,74.8899480997395,-63.0286184095237,8.94690037,6655.0,4.32159996,1.35299003,1,4,1,17212,26.39611742103466
60371639,334.062315779755,-31.0865099865631,13.32299995,3734.0,4.76561022,0.46792701,1,1,2,18140,27.690626075061573
60645979,334.337888039644,-35.9775621011823,8.98869991,5016.0,,3.64701009,1,1,2,18140,27.69053909139575
62483415,336.238454155873,-31.6219091162307,13.90600014,35100.0,5.79948997,0.14300001,1,1,2,18117,27.65597096433612
79283384,318.936569425073,-52.6251515357116,8.66909981,6971.18017578,4.17515993,1.67417002,1,2,4,18274,27.880062207065066
79425183,320.688688376034,-48.457405044887,5.92449999,4595.0,,10.90019989,1,2,4,18269,27.88016272005393
89019529,338.112244654747,-45.0046218179772,8.8604002,6240.20019531,4.25400019,1.35964,1,2,3,18276,27.880741959388843
99499658,317.863829136516,-23.692059479529,12.18270016,3655.0,4.66551018,0.58315402,1,1,4,18181,27.74428386634918
114952667,315.220257456771,-40.2365447502963,9.34449959,6616.0,4.27097988,1.42392004,1,1,1,18209,27.785643534724613
126800999,316.800135392797,-45.6298310726742,8.45759964,4801.70019531,,11.85700035,1,1,1,18209,27.785636350967934
139250667,347.187740871118,-43.1472476240671,9.57149982,6586.0,4.29415989,1.38137996,1,2,3,18277,27.8810458504106
139300891,348.210875240036,-44.7519172886932,9.90100002,5380.0,,0.98190099,1,2,3,18276,27.881029975551655
140659172,72.2707595097182,-73.1124192243247,11.00199986,5008.0,,3.5808301,1,4,2,18278,27.880463013842245
141029787,79.5362295593399,-76.9040194878428,8.42889977,5679.41015625,4.41386986,1.03338003,1,4,2,18279,27.880264922752986
144048277,337.125317100301,-51.7880489994837,5.53480005,3880.0,,58.47719955,1,2,3,18218,27.88056228211849
147201324,323.031067184695,-45.4781160658261,9.63319969,6302.0,4.25800991,1.37005997,1,1,1,18208,27.78583337039595
149347948,83.8021909742509,-61.0572378163841,10.23989964,5731.0,4.47852993,0.96397799,1,4,4,16707,27.880826381273664
149625254,87.0933381276886,-64.3605487319919,11.07129955,4013.0,4.7101202,0.58029002,1,4,4,18273,27.88066150194254
150431120,97.2157971748068,-60.0672803407435,9.03950024,6574.0,4.15774012,1.61631,1,4,4,18279,27.880644238563264
160037571,339.090339513572,-41.9791349063715,8.41240025,4824.0,,10.51749992,1,2,3,18276,27.880839921485176
161153456,338.816852735393,-49.7900593732171,10.7524004,5235.0,4.53478003,0.84399498,1,2,3,18277,27.880651874418845
161270578,342.138736579635,-51.3168494546046,3.35890007,7900.0,,,1,2,3,18251,27.880700270596435
167549317,100.649296706338,-62.7772364064185,8.46549988,7262.0,3.97168994,2.19084001,1,4,3,18279,27.880504348033583
182078599,15.1593093933155,-73.8676743960537,9.62279987,5482.89990234,4.37400007,1.05480003,1,3,2,18275,27.88042781171157
197764361,326.870439334615,-59.7567491467221,10.73429966,5326.0,,5.0216198,1,2,1,18277,27.8801635191287
200643624,320.372709335057,-44.778401500346,10.79609966,5318.0,4.43010998,0.96799302,1,1,1,18192,27.759371384643828
204418696,325.23063440542,-30.1930840987451,10.00909996,6083.0,4.43241978,1.07420003,1,1,3,18185,27.74864675263302
204494885,326.616729218838,-34.2834680055571,10.89490032,5269.0,,2.43292999,1,1,2,18118,27.659743995604458
204500377,326.860701808854,-31.3191375900583,10.44470024,6152.0,4.20932007,1.40696001,1,1,3,18180,27.74313434188798
206354072,355.416161962025,-50.6638044603907,9.51200008,5949.0,4.40560007,1.08379996,1,2,2,18276,27.881027932462757
206365470,357.204005380007,-53.6096354500529,9.8132,6069.0,4.26018,1.30462003,1,2,2,18276,27.88096941280878
211432564,322.180866084111,-30.7928037838547,14.40030003,3465.0,4.79792023,0.431651,1,1,4,18178,27.738799157793892
214301078,339.341431567843,-39.5048534156211,9.79609966,7034.20019531,4.05572987,1.93346,1,1,2,18079,27.603127648159443
214568827,340.705120742115,-38.0433946390625,8.42790031,4254.0,,29.08250046,1,1,2,18136,27.690703392530395
220538514,43.39647776329,-64.3394220086135,8.82369995,5258.0,4.48327017,0.90057498,1,3,4,18265,27.880964181686295
229807183,352.431663418863,-67.2732526966791,12.60200024,3446.0,4.84466982,0.38058501,1,3,2,18276,27.880449111757343
231090784,68.9393331003473,-67.1147217079096,12.04160023,4256.0,4.34357023,0.91261297,1,4,1,18157,27.880740914444914
231631884,317.461169692335,-56.9312153359914,8.0848999,4766.0,,12.26889992,1,2,4,18274,27.879978683728268
231741096,78.0887954744061,-66.3077083935134,10.90400028,6028.0,4.50395012,0.98100299,1,4,1,18278,27.8806939244771
234513798,13.5404814312254,-63.0374175323683,10.73770046,4927.0,4.53685999,0.80324203,1,3,1,18276,27.88086283108919
234516451,14.0886061904106,-63.9583364711963,6.45100021,5453.0,3.86897993,1.87674999,1,3,1,18270,27.880830743301203
234997643,350.832883151568,-60.1627194328989,10.99400043,5101.39990234,,7.60735989,1,2,2,18276,27.880641949314168
235040784,354.279313015049,-64.5822183653044,8.75889969,4515.0,,18.99699974,1,3,1,18275,27.880560499567082
237934953,58.9085003500306,-61.5533564650971,9.17240047,5447.0,4.3516798,1.07659996,1,4,1,18278,27.88105195220328
238202274,58.3455323833028,-73.948651665322,8.49100018,5663.89990234,3.75312996,2.2112,1,3,3,18277,27.880490867837807
260502312,96.5512218006505,-58.5866215180822,11.38969994,5212.06005859,4.45804977,0.92194498,1,4,4,18279,27.880701343887495
261499413,335.269550764564,-69.9974755653979,10.43050003,5047.0,4.57831001,0.77986598,1,3,2,18277,27.880135510766422
263177505,18.1042989550325,-83.0411461246809,9.51410007,5429.0,4.4740901,0.93508703,1,3,3,18278,27.880055439725993
265567611,330.587253540375,-56.038963894564,10.72220039,5358.0,4.1325798,1.37083995,1,2,4,18274,27.880312547970107
267090033,5.41676151469976,-74.3044010029774,10.85649967,5438.0,4.55712986,0.849823,1,3,2,18271,27.88034363994143
270564776,329.176769211112,-32.398013626439,9.1395998,6357.79980469,4.1401,1.58186996,1,1,2,18136,27.690424395295395
273652136,338.835104267585,-79.1858521779301,9.63259983,5800.39990234,4.35964012,1.11616004,1,3,2,18275,27.87998540578178
273733875,341.045687431382,-78.0191408704187,8.24409962,4692.60009766,,10.83040047,1,3,2,18274,27.88002883521608
278523134,332.314537321752,-39.0180156631243,10.2052002,5867.0,3.82744002,2.07953,1,1,2,18083,27.608467938385502
278660115,328.864665183009,-70.1153669630575,6.64050007,9415.0,4.33663988,1.73746002,1,2,1,18268,27.880039725170946
278822171,100.169043867859,-56.9851606431856,9.60280037,6447.0,4.28147984,1.37065995,1,4,4,18279,27.88067783806241
281575427,7.97521606634784,-56.9651009302552,9.45250034,6222.5,4.19223022,1.45381999,1,3,1,18277,27.881033396299472
294053203,107.136438390213,-58.0735908660954,8.10319996,4422.0,,20.18700027,1,4,3,18277,27.880503440925395
294274252,108.624867638246,-58.798597401345,10.46920013,5108.87988281,4.4273901,0.93883401,1,4,3,18279,27.880454478154434
301937753,329.128361196326,-22.10257510872,8.60674,5634.79003906,3.79867005,2.08681011,1,1,3,18231,27.818377604992293
302116223,322.555112311457,-25.8168949296017,8.37300014,3715.0,,44.08050156,1,1,3,18230,27.818053385061376
317130287,349.767283096932,-79.8712637822407,10.98620033,5043.0,,3.50845003,1,3,2,18277,27.88004577108427
325201374,354.529764023732,-68.0113853606196,9.82839966,6076.0,4.45163012,1.05116999,1,3,2,18277,27.88045346988133
348718811,45.7487563308753,-79.69421052182,13.51840019,3429.0,4.9024601,0.32171199,1,3,3,18276,27.880242855122788
349192028,108.83691839904,-60.3777534441907,11.82139969,3682.0,4.63602018,0.618056,1,4,3,18275,27.88041297812947
349833420,113.568184360589,-65.6909044791906,9.15820026,6363.0,4.44094992,1.12321997,1,4,3,18279,27.88020849991358
350430572,84.8729562671987,-55.0836696573288,10.49069977,5893.0,,1.14155996,1,4,4,18278,27.881026974248243
350433143,85.047585301852,-58.4696897074143,10.48480034,5346.70019531,4.3927598,1.01051998,1,4,4,15804,27.880902469604052
355369707,349.47552203563,-51.5412414695612,8.49810028,6355.0,4.21795988,1.44623005,1,2,2,18274,27.880869537077388
364538452,71.1016996893661,-74.4404648916891,11.19209957,5459.95019531,4.55628014,0.85066402,1,4,2,18278,27.88041385607562
369248750,314.121938996726,-41.1948995161174,8.39050007,4830.0,,7.29140997,1,1,1,18206,27.785595967424115
369715879,34.8863341278135,-61.5879694834387,15.72599983,31000.0,5.59961987,0.18000001,1,3,4,18214,27.881076222469574
376931506,59.0995599265189,-79.2951110436587,10.14439964,4679.0,4.56104994,0.751692,1,3,3,18278,27.88024519425585
382043075,79.0637093897576,-55.6801890202516,8.89760017,5789.0,4.27537012,1.22988999,1,4,4,18271,27.88109652937078
382510066,117.142586834734,-60.167237571323,8.39500046,6704.0,4.23078012,1.51282001,1,4,3,18278,27.88024402020733
389662255,323.353216313182,-44.2792031236515,11.30599976,4242.0,4.46875,0.78420502,1,1,1,18071,27.591421838480983
389686116,324.197091006659,-47.1999148307403,8.60949993,4978.0,,8.99596977,1,2,4,18274,27.880285472094556
389729346,350.808266910119,-45.6205433625085,9.0302,4670.39990234,,7.05213022,1,2,3,18277,27.881072778671523
394086265,339.0615925389,-63.7390276901137,10.30319977,5205.0,4.49583006,0.88269901,1,2,1,18276,27.880332543000122
394137720,4.46118427434772,-66.8657607078727,10.35280037,6044.0,4.43981981,1.05616999,1,3,1,18277,27.880613735828092
394557812,335.060967251127,-61.7688051717748,9.43290043,6380.39990234,4.26574993,1.37423003,1,2,1,18276,27.880299679886093
394634263,351.794526976007,-70.3845174827693,8.10929966,,,,1,3,2,18275,27.88034485904268
403207398,338.109425106876,-55.9184218228897,10.42310047,5517.0,4.27497005,1.18833005,1,2,1,18276,27.88049298892497
419635831,323.333967806033,-66.6003687637761,10.88099957,4460.20019531,4.55304003,0.73293,1,2,1,18277,27.87999817467994
441191683,334.739244229257,-24.217066610921,9.07719994,5572.0,4.56162024,0.858693,1,1,3,18234,27.81856064852809
